EmployeeID,HireDate,TerminationDate,Department,JobRole,EmploymentType,Gender,AgeGroup,Education,JobSatisfaction,Performance,WorkLifeBalance,Salary
E03061,2023-11-02,2025-07-18,Finance,IT Analyst,Full-time,Female,Below 20,Bachelor,Very High,Good,Better,69000.0
E02020,2022-09-18,,Finance,Sales Executive,Contractor,Male,30-40,College,Medium,Excellent,Good,99000.0
E02844,2023-08-01,,Finance,Finance Director,Full-time,Other,50-60,Master,High,Outstanding,Best,105000.0
E02498,2023-02-16,,Finance,Finance Director,Contractor,Male,Below 20,Bachelor,High,Excellent,Better,133000.0
E02114,2022-05-02,,Finance,HR Specialist,Contractor,Male,50-60,College,High,Good,Better,71000.0
E03509,2023-09-15,,Finance,HR Specialist,Contractor,Male,20-30,Bachelor,High,Low,Best,95000.0
E03633,2024-11-08,,Finance,HR Specialist,Full-time,Female,60+,Bachelor,Low,Outstanding,Better,123000.0
E03908,2024-01-02,,Finance,Sales Executive,Full-time,Female,20-30,Master,Very High,Good,Bad,113000.0
E01105,2021-07-10,2022-04-03,Finance,Sales Executive,Contractor,Other,30-40,College,Very High,Outstanding,Bad,91000.0
E202500071,2025-08-27,,Finance,HR Specialist,Contractor,Female,20-30,Master,High,Low,Good,113768.80608634466
E03562,2023-10-28,2025-03-14,Finance,Sales Executive,Contractor,Male,40-50,Master,Very High,Low,Good,71000.0
E202500196,2025-06-06,,Finance,HR Specialist,Full-time,Male,60+,Doctor,Very High,Outstanding,Good,81149.86284803292
E00582,2020-08-17,,Finance,IT Analyst,Contractor,Other,Below 20,Master,Very High,Good,Best,73000.0
E01321,2021-03-07,,Finance,Finance Director,Full-time,Female,Below 20,Doctor,Medium,Outstanding,Good,114000.0
E00171,2020-06-19,2025-09-04,Finance,HR Specialist,Contractor,Male,30-40,Doctor,High,Good,Best,102000.0
E01932,2022-07-20,2024-08-27,Finance,Finance Director,Full-time,Male,30-40,College,Medium,Outstanding,Better,100000.0
E01574,2022-11-11,2024-04-26,Finance,IT Analyst,Contractor,Male,20-30,Doctor,Low,Outstanding,Bad,105000.0
E01580,2022-07-24,,Finance,Manager,Contractor,Male,40-50,Doctor,Low,Low,Bad,135000.0
E02021,2022-10-27,,Finance,HR Specialist,Contractor,Other,30-40,Below College,Low,Good,Good,104000.0
E03012,2023-10-09,,Finance,HR Specialist,Contractor,Female,Below 20,Doctor,Medium,Outstanding,Better,70000.0
E03368,2023-07-04,2024-07-20,Finance,HR Specialist,Full-time,Female,Below 20,Master,Medium,Outstanding,Bad,65000.0
E00802,2021-11-23,,Finance,Finance Director,Full-time,Female,Below 20,College,Very High,Good,Best,125000.0
E02540,2023-04-15,,Finance,Finance Director,Full-time,Male,20-30,Master,Medium,Excellent,Best,104000.0
E04647,2024-11-04,2025-05-11,Finance,HR Specialist,Full-time,Male,40-50,Master,Low,Good,Best,114000.0
E03666,2024-04-29,2024-10-19,Finance,Manager,Full-time,Female,20-30,Bachelor,High,Good,Good,122000.0
E02271,2022-06-20,2025-04-03,Finance,Research Scientist,Contractor,Female,60+,College,High,Outstanding,Best,70000.0
E00618,2021-07-07,,Finance,Finance Director,Full-time,Female,40-50,Below College,Very High,Excellent,Good,119000.0
E02278,2022-06-12,2024-12-06,Finance,HR Specialist,Full-time,Male,60+,Doctor,Low,Excellent,Bad,67000.0
E01723,2022-09-21,,Finance,Finance Director,Full-time,Female,50-60,Doctor,Low,Outstanding,Better,111000.0
E01089,2021-03-27,2025-07-25,Finance,Sales Executive,Contractor,Other,50-60,Bachelor,Medium,Excellent,Bad,131000.0
E01519,2022-01-20,2025-10-23,Finance,Research Scientist,Contractor,Female,60+,Doctor,Very High,Excellent,Good,124000.0
E01511,2022-03-24,,Finance,Research Scientist,Contractor,Male,Below 20,Bachelor,High,Outstanding,Better,130000.0
E03862,2024-07-24,,Finance,Manager,Full-time,Male,60+,Doctor,Very High,Low,Best,121000.0
E02062,2022-08-18,,Finance,Finance Director,Contractor,Male,40-50,College,Low,Outstanding,Bad,69000.0
E00054,2020-01-14,,Finance,Manager,Full-time,Male,60+,Bachelor,Low,Good,Bad,106000.0
E01860,2022-04-22,2025-10-28,Finance,Finance Director,Contractor,Male,20-30,Doctor,Medium,Outstanding,Bad,130000.0
E04106,2024-09-02,,Finance,IT Analyst,Contractor,Male,40-50,Below College,Low,Good,Best,74000.0
E03302,2023-09-26,2025-02-23,Finance,Manager,Full-time,Other,20-30,Master,Very High,Low,Bad,127000.0
E00919,2021-11-26,2025-06-06,Finance,Research Scientist,Full-time,Male,20-30,Master,Medium,Outstanding,Good,64000.0
E01288,2021-03-25,,Finance,IT Analyst,Full-time,Female,30-40,Below College,Very High,Excellent,Bad,79000.0
E04395,2024-05-16,,Finance,IT Analyst,Full-time,Other,40-50,Bachelor,Very High,Outstanding,Better,77000.0
E01989,2022-05-31,2024-08-29,Finance,IT Analyst,Full-time,Female,50-60,Doctor,Medium,Low,Good,69000.0
E02922,2023-07-10,,Finance,Finance Director,Contractor,Male,40-50,College,Low,Outstanding,Better,78000.0
E04436,2024-07-09,,Finance,HR Specialist,Full-time,Female,Below 20,Bachelor,Low,Low,Bad,65000.0
E01946,2022-06-10,,Finance,IT Analyst,Contractor,Male,30-40,Master,Very High,Good,Bad,125000.0
E02756,2023-06-30,,Finance,Manager,Full-time,Female,50-60,Doctor,Low,Low,Better,95000.0
E04523,2024-11-04,2025-07-03,Finance,Manager,Full-time,Male,30-40,College,High,Outstanding,Best,70000.0
E04274,2024-07-30,,Finance,IT Analyst,Contractor,Male,60+,Master,High,Outstanding,Best,91000.0
E202500274,2025-10-11,,Finance,HR Specialist,Contractor,Male,40-50,Doctor,High,Good,Better,76338.35246611011
E04872,2024-03-23,,Finance,Sales Executive,Full-time,Female,30-40,Below College,High,Excellent,Best,65000.0
E04173,2024-01-03,,Finance,Research Scientist,Contractor,Female,20-30,Below College,High,Good,Bad,66000.0
E00243,2020-11-21,,Finance,HR Specialist,Contractor,Male,40-50,College,Medium,Good,Good,134000.0
E00500,2020-04-13,,Finance,Finance Director,Full-time,Other,30-40,Doctor,High,Low,Bad,80000.0
E00283,2020-03-12,2020-09-14,Finance,HR Specialist,Contractor,Female,20-30,Master,High,Low,Good,126000.0
E00943,2021-03-17,,Finance,Manager,Full-time,Male,60+,Below College,Medium,Outstanding,Best,131000.0
E01457,2022-11-03,2024-06-20,Finance,Manager,Full-time,Male,60+,College,Low,Excellent,Good,131000.0
E202500059,2025-07-26,,Finance,Research Scientist,Full-time,Female,Below 20,Master,High,Outstanding,Better,65092.31157092111
E01438,2022-10-28,,Finance,Sales Executive,Full-time,Male,20-30,Below College,High,Good,Bad,139000.0
E202500068,2025-09-01,,Finance,Manager,Full-time,Female,30-40,Doctor,Very High,Outstanding,Bad,80825.63121447524
E03304,2023-12-05,,Finance,HR Specialist,Contractor,Female,30-40,Below College,Low,Excellent,Good,68000.0
E04708,2024-12-16,,Finance,IT Analyst,Contractor,Female,20-30,Doctor,Low,Outstanding,Good,70000.0
E03777,2024-12-05,,Finance,Sales Executive,Full-time,Male,20-30,Below College,High,Excellent,Best,105000.0
E03614,2024-11-23,,Finance,Finance Director,Full-time,Male,60+,Master,High,Outstanding,Best,85000.0
E02012,2022-04-28,2023-05-17,Finance,Research Scientist,Full-time,Female,30-40,Bachelor,High,Low,Better,113000.0
E04727,2024-06-19,,Finance,Finance Director,Full-time,Male,30-40,Doctor,Very High,Outstanding,Good,83000.0
E00942,2021-06-18,,Finance,Manager,Full-time,Male,60+,Bachelor,Medium,Outstanding,Bad,123000.0
E01824,2022-07-23,,Finance,Manager,Full-time,Male,20-30,Bachelor,Medium,Good,Best,95000.0
E03175,2023-06-11,,Finance,IT Analyst,Full-time,Female,50-60,Bachelor,Medium,Excellent,Better,77000.0
E00391,2020-03-21,,Finance,Finance Director,Contractor,Other,40-50,College,Low,Outstanding,Best,117000.0
E04769,2024-10-11,,Finance,Finance Director,Contractor,Male,Below 20,Bachelor,High,Excellent,Best,65000.0
E02874,2023-02-08,,Finance,HR Specialist,Contractor,Female,40-50,Below College,Medium,Outstanding,Bad,120000.0
E04946,2024-12-18,,Finance,Sales Executive,Contractor,Other,30-40,Doctor,Very High,Outstanding,Better,115000.0
E04417,2024-01-13,,Finance,Finance Director,Contractor,Female,Below 20,College,Very High,Excellent,Good,76000.0
E04175,2024-05-31,,Finance,Manager,Contractor,Male,20-30,Bachelor,High,Outstanding,Good,68000.0
E01898,2022-04-21,2024-07-19,Finance,HR Specialist,Contractor,Female,Below 20,Doctor,Very High,Excellent,Bad,140000.0
E04595,2024-09-08,,Finance,Research Scientist,Contractor,Female,40-50,College,High,Outstanding,Bad,130000.0
E01186,2021-03-02,,Finance,Sales Executive,Full-time,Male,20-30,Master,High,Low,Best,102000.0
E00350,2020-08-15,,Finance,Manager,Full-time,Male,30-40,Below College,Very High,Low,Bad,96000.0
E202500007,2025-07-25,,Finance,Sales Executive,Contractor,Male,60+,College,Medium,Low,Best,77648.34936731112
E00608,2021-02-05,,Finance,Sales Executive,Full-time,Female,20-30,Below College,Very High,Low,Best,124000.0
E01261,2021-02-03,2022-08-02,Finance,Finance Director,Contractor,Female,60+,Below College,High,Low,Better,122000.0
E02817,2023-08-03,,Finance,Manager,Contractor,Male,Below 20,College,High,Excellent,Better,88000.0
E03802,2024-06-10,,Finance,Sales Executive,Full-time,Male,Below 20,College,High,Outstanding,Best,134000.0
E202500145,2025-07-22,,Finance,HR Specialist,Full-time,Female,40-50,Master,High,Excellent,Better,113477.56835808612
E00627,2021-03-19,,Finance,Manager,Full-time,Female,30-40,Below College,Medium,Outstanding,Good,121000.0
E03136,2023-07-17,,Finance,Finance Director,Contractor,Male,50-60,College,Very High,Outstanding,Good,130000.0
E01566,2022-07-15,,Finance,HR Specialist,Contractor,Female,Below 20,Doctor,Low,Outstanding,Better,70000.0
E03888,2024-04-06,2024-09-10,Finance,Sales Executive,Contractor,Male,Below 20,Doctor,High,Outstanding,Good,86000.0
E00612,2021-05-09,,Finance,HR Specialist,Contractor,Male,Below 20,Below College,Low,Outstanding,Bad,78000.0
E04733,2024-07-07,,Finance,HR Specialist,Full-time,Male,40-50,Master,High,Outstanding,Better,126000.0
E03936,2024-08-22,,Finance,IT Analyst,Contractor,Male,30-40,Doctor,High,Outstanding,Good,133000.0
E02793,2023-11-18,,Finance,IT Analyst,Contractor,Male,30-40,Master,Medium,Outstanding,Best,125000.0
E202500334,2025-10-15,,Finance,Finance Director,Contractor,Male,20-30,Master,Medium,Excellent,Good,73343.42052522473
E03748,2024-03-03,,Finance,Research Scientist,Contractor,Female,40-50,Doctor,Medium,Low,Best,97000.0
E01159,2021-03-17,2022-05-22,Finance,Research Scientist,Contractor,Male,20-30,Doctor,High,Low,Good,68000.0
E04268,2024-06-12,,Finance,HR Specialist,Contractor,Female,40-50,Below College,Low,Good,Bad,135000.0
E01271,2021-07-17,,Finance,HR Specialist,Full-time,Male,40-50,Bachelor,Very High,Excellent,Bad,62000.0
E01046,2021-12-27,,Finance,Research Scientist,Contractor,Male,60+,Below College,Medium,Excellent,Better,88000.0
E03320,2023-05-22,,Finance,IT Analyst,Contractor,Male,40-50,College,High,Excellent,Better,75000.0
E02039,2022-09-22,,Finance,Finance Director,Contractor,Female,Below 20,Doctor,High,Good,Good,116000.0
E02620,2023-09-08,,Finance,IT Analyst,Contractor,Female,40-50,College,Very High,Good,Bad,89000.0
E03203,2023-05-01,2025-08-21,Finance,Sales Executive,Full-time,Female,50-60,College,Medium,Low,Best,87000.0
E202500040,2025-04-27,,Finance,IT Analyst,Contractor,Male,40-50,Master,Very High,Good,Better,117358.38975786026
E00970,2021-08-15,,Finance,Sales Executive,Full-time,Male,40-50,College,Very High,Outstanding,Best,100000.0
E01629,2022-11-01,,Finance,Finance Director,Full-time,Female,40-50,Bachelor,Very High,Excellent,Better,89000.0
E02327,2022-08-25,,Finance,Manager,Contractor,Male,40-50,Below College,Very High,Low,Bad,113000.0
E00355,2020-11-20,,Finance,Manager,Full-time,Female,60+,Doctor,Medium,Outstanding,Bad,107000.0
E00888,2021-10-14,,Finance,Sales Executive,Full-time,Female,40-50,College,Very High,Outstanding,Better,66000.0
E202500210,2025-02-26,,Finance,IT Analyst,Full-time,Male,50-60,Doctor,Very High,Outstanding,Bad,133688.58064513642
E03718,2024-04-16,,Finance,HR Specialist,Contractor,Female,Below 20,College,Low,Low,Bad,103000.0
E00941,2021-07-08,,Finance,Finance Director,Contractor,Female,30-40,Below College,Low,Low,Good,103000.0
E04547,2024-07-15,,Finance,Sales Executive,Contractor,Female,50-60,Bachelor,Medium,Low,Best,131000.0
E03512,2023-11-03,,Finance,Manager,Full-time,Female,60+,Bachelor,Very High,Good,Bad,111000.0
E00209,2020-10-10,,Finance,Manager,Full-time,Female,20-30,Bachelor,High,Good,Best,106000.0
E00167,2020-07-20,,Finance,HR Specialist,Full-time,Female,Below 20,Below College,High,Outstanding,Best,137000.0
E04049,2024-01-02,,Finance,Research Scientist,Full-time,Male,Below 20,Below College,Medium,Outstanding,Good,138000.0
E00606,2021-02-26,,Finance,IT Analyst,Full-time,Female,50-60,Below College,Low,Excellent,Best,100000.0
E00266,2020-02-10,,Finance,HR Specialist,Full-time,Male,40-50,Doctor,Low,Excellent,Best,76000.0
E04035,2024-12-26,,Finance,Manager,Full-time,Female,20-30,Master,Medium,Low,Good,63000.0
E01775,2022-06-18,2025-05-06,Finance,Sales Executive,Full-time,Male,60+,Bachelor,High,Low,Better,70000.0
E01092,2021-03-23,2025-04-25,Finance,Sales Executive,Full-time,Male,60+,Bachelor,Very High,Outstanding,Best,98000.0
E02801,2023-12-26,2024-02-26,Finance,Sales Executive,Full-time,Male,40-50,Below College,High,Good,Bad,115000.0
E04420,2024-05-21,,Finance,Sales Executive,Contractor,Female,60+,Bachelor,Medium,Excellent,Bad,89000.0
E01923,2022-01-02,2022-09-08,Finance,Sales Executive,Contractor,Male,20-30,Bachelor,Very High,Good,Best,91000.0
E03138,2023-03-03,,Finance,HR Specialist,Full-time,Male,30-40,Doctor,Medium,Excellent,Bad,89000.0
E00012,2020-05-14,,Finance,Research Scientist,Contractor,Other,60+,College,Medium,Good,Good,121000.0
E01606,2022-10-15,,Finance,HR Specialist,Full-time,Male,50-60,Bachelor,Very High,Excellent,Better,91000.0
E02527,2023-07-21,,Finance,IT Analyst,Full-time,Female,60+,Doctor,Very High,Excellent,Best,125000.0
E202500214,2025-10-04,,Finance,IT Analyst,Contractor,Female,50-60,College,Very High,Outstanding,Good,113003.34176495184
E03411,2023-05-22,,Finance,Manager,Full-time,Female,Below 20,Master,Very High,Excellent,Good,98000.0
E03704,2024-12-10,,Finance,Finance Director,Contractor,Male,60+,Master,Low,Excellent,Best,124000.0
E04532,2024-10-16,,Finance,Finance Director,Full-time,Female,30-40,College,Low,Outstanding,Best,81000.0
E01474,2022-03-07,,Finance,Finance Director,Contractor,Female,60+,Master,High,Outstanding,Best,102000.0
E04316,2024-02-23,,Finance,IT Analyst,Contractor,Female,60+,College,Very High,Good,Good,94000.0
E02678,2023-10-18,,Finance,IT Analyst,Full-time,Female,40-50,Master,Medium,Outstanding,Better,112000.0
E00280,2020-07-02,,Finance,IT Analyst,Full-time,Male,30-40,Below College,Low,Good,Good,77000.0
E01370,2021-06-19,2022-07-23,Finance,Finance Director,Contractor,Female,60+,Doctor,High,Low,Bad,61000.0
E01627,2022-04-01,,Finance,Finance Director,Full-time,Female,50-60,College,Very High,Low,Bad,139000.0
E00301,2020-05-13,,Finance,HR Specialist,Full-time,Female,20-30,Below College,Low,Excellent,Best,66000.0
E01187,2021-06-24,,Finance,Finance Director,Full-time,Male,30-40,Below College,Very High,Outstanding,Better,136000.0
E202500098,2025-01-19,,Finance,HR Specialist,Full-time,Male,30-40,College,Low,Low,Bad,127497.25594540832
E03300,2023-12-01,,Finance,Sales Executive,Full-time,Male,Below 20,Below College,Low,Outstanding,Better,71000.0
E00481,2020-01-17,,Finance,IT Analyst,Full-time,Male,20-30,Bachelor,Medium,Low,Better,138000.0
E00774,2021-05-23,,Finance,Finance Director,Contractor,Female,40-50,College,Very High,Low,Better,90000.0
E02743,2023-05-04,2025-09-30,Finance,Sales Executive,Contractor,Female,Below 20,Bachelor,High,Good,Good,72000.0
E04484,2024-11-06,,Finance,IT Analyst,Contractor,Male,50-60,Master,High,Outstanding,Best,80000.0
E202500263,2025-07-06,,Finance,IT Analyst,Contractor,Female,50-60,Bachelor,High,Excellent,Bad,96872.41921641526
E02615,2023-05-08,,Finance,Finance Director,Contractor,Female,50-60,College,Very High,Outstanding,Better,133000.0
E04877,2024-03-12,2025-05-19,Finance,Research Scientist,Contractor,Male,50-60,Below College,High,Low,Bad,121000.0
E01969,2022-02-06,,Finance,Sales Executive,Full-time,Female,60+,College,Very High,Good,Better,118000.0
E03734,2024-11-18,,Finance,Sales Executive,Full-time,Male,40-50,Bachelor,Very High,Outstanding,Better,106000.0
E01168,2021-04-15,,Finance,IT Analyst,Full-time,Male,Below 20,Below College,High,Low,Best,110000.0
E00976,2021-11-06,,Finance,HR Specialist,Contractor,Female,Below 20,Master,Low,Outstanding,Best,102000.0
E04588,2024-04-25,,Finance,HR Specialist,Contractor,Female,50-60,College,High,Outstanding,Bad,66000.0
E01855,2022-12-09,,Finance,IT Analyst,Contractor,Male,60+,College,Low,Outstanding,Bad,115000.0
E02699,2023-04-26,,Finance,IT Analyst,Contractor,Male,Below 20,College,Very High,Excellent,Best,91000.0
E00311,2020-10-11,,Finance,IT Analyst,Full-time,Female,Below 20,Doctor,Very High,Low,Best,86000.0
E02554,2023-06-20,,Finance,HR Specialist,Full-time,Other,50-60,College,Medium,Low,Good,97000.0
E00312,2020-10-17,,Finance,Finance Director,Contractor,Female,50-60,Below College,High,Excellent,Best,121000.0
E04572,2024-04-04,,Finance,Research Scientist,Contractor,Male,20-30,Doctor,High,Excellent,Best,125000.0
E03214,2023-01-19,,HR,Research Scientist,Full-time,Male,40-50,Master,Medium,Good,Bad,96000.0
E04096,2024-01-27,,HR,Research Scientist,Contractor,Female,Below 20,Doctor,High,Outstanding,Best,63000.0
E00049,2020-09-05,2022-09-23,HR,Manager,Contractor,Male,40-50,Bachelor,Low,Outstanding,Bad,80000.0
E01800,2022-01-19,,HR,Research Scientist,Contractor,Female,30-40,Below College,High,Excellent,Better,96000.0
E00798,2021-01-04,2025-12-12,HR,Finance Director,Contractor,Male,20-30,Doctor,Low,Outstanding,Good,87000.0
E03094,2023-06-17,,HR,IT Analyst,Contractor,Male,20-30,Doctor,High,Low,Better,66000.0
E202500393,2025-05-29,,HR,Manager,Contractor,Female,Below 20,Below College,High,Excellent,Better,61615.08367933244
E202500056,2025-07-22,,HR,IT Analyst,Full-time,Male,20-30,College,Medium,Outstanding,Bad,52229.662357715046
E01244,2021-03-14,,HR,Manager,Full-time,Male,50-60,Master,Low,Good,Better,73000.0
E01421,2022-11-12,,HR,Manager,Full-time,Female,60+,Doctor,Very High,Low,Bad,47000.0
E00075,2020-02-29,2025-06-29,HR,Research Scientist,Contractor,Male,60+,Doctor,Very High,Outstanding,Bad,64000.0
E202500298,2025-06-28,,HR,HR Specialist,Full-time,Female,20-30,Master,Low,Outstanding,Good,73395.59118745434
E00790,2021-01-18,,HR,Sales Executive,Contractor,Other,60+,Bachelor,High,Outstanding,Better,62000.0
E04481,2024-07-01,2025-07-05,HR,Research Scientist,Contractor,Female,40-50,College,Very High,Good,Better,45000.0
E04978,2024-11-17,2025-02-22,HR,Manager,Full-time,Female,40-50,College,Very High,Outstanding,Better,74000.0
E01432,2022-05-06,,HR,Research Scientist,Contractor,Male,60+,Master,Low,Good,Bad,80000.0
E00023,2020-01-30,,HR,Sales Executive,Full-time,Female,Below 20,Below College,Very High,Good,Bad,73000.0
E01564,2022-10-31,,HR,Finance Director,Contractor,Female,40-50,Below College,Medium,Good,Bad,77000.0
E03942,2024-03-15,,HR,Sales Executive,Full-time,Male,50-60,Master,Very High,Excellent,Bad,59000.0
E01362,2021-11-08,,HR,IT Analyst,Full-time,Female,20-30,Master,Medium,Low,Better,74000.0
